rawMtrl,allergy,isCrossReact,probablility
돼지목살,null,0,null
다진돼지고긱,null,0,null
돼지등뼈,null,0,null
돼지뼈,null,0,null
돼지선지,null,0,null
돼지고기지방,null,0,null
돼지삼겹살,null,0,null
허브돼지막창,null,0,null
돼지불고기양념,null,0,null
돼지뒷다리,null,0,null
국산돼지고기,null,0,null
돼지고기삼겹살,null,0,null
돼지고기베이스,null,0,null
돼지고기정육,null,0,null
돼지전지,null,0,null
돼지사태,null,0,null
돼지감자,null,0,null
돼지안심살,null,0,null
유기농돼지고기,null,0,null
돼지등심,null,0,null
돼지막창,null,0,null
돼지고기갈비살,null,0,null
돼지뒷다리살,null,0,null
제주돼지갈릭구이,null,0,null
땅콩함유,땅콩,false,null
꿀탕콩,땅콩,false,null
땅콩함유,땅콩,false,null
땅콩볶음분,땅콩,false,null
배합땅콩,땅콩,false,null
땅콩향,땅콩,false,null
튀김땅콩,땅콩,false,null
볶음분태땅콩,땅콩,false,null
땅콩가공분,땅콩,false,null
볶음알땅콩,땅콩,false,null
땅콩코팅분태,땅콩,false,null
땅콩유,땅콩,false,null
스키피땅콩버터,땅콩,false,null
땅콩가루,땅콩,false,null
구운땅콩,땅콩,false,null
땅콩버터향,땅콩,false,null
초코땅콩,땅콩,false,null
하이올레익볶음땅콩,땅콩,false,null
땅콩계란,땅콩,false,null
초코크림땅콩분말,땅콩,false,null
가염땅콩페이스트,땅콩,false,null
땅콩강정,땅콩,false,null
크리미땅콩버터,땅콩,false,null
알땅콩,땅콩,false,null
볶음땅콩,땅콩,false,null
땅콩오일,땅콩,false,null
땅콩,땅콩,false,null
땅콩볶음분,땅콩,false,null
볶음땅콩분말,땅콩,false,null
땅콩혼합분말,땅콩,false,null
땅콩또는견과류가공품,땅콩,false,null
코팅땅콩반태,땅콩,false,null
땅콩소보루,땅콩,false,null
배합땅콩버터,땅콩,false,null
땅콩분,땅콩,false,null
땅콩전지,땅콩,false,null
땅콩맛크림,땅콩,false,null
새우땅콩볼,땅콩,false,null
땅콩분말,땅콩,false,null
율무땅콩,땅콩,false,null
커피땅콩분태,땅콩,false,null
땅콩함유,땅콩,false,null
볶음땅콩반태,땅콩,false,null
탈지땅콩분말,땅콩,false,null
땅콩반태,땅콩,false,null
스키피땅콩버터크리미,땅콩,false,null
볶음땅콩분태,땅콩,false,null
